,CMPLNT_FR_TM,RPT_DT,OFNS_DESC,BORO_NM,Lat_Lon
5364058,18:21:00,06/15/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.69969571, -73.981691569)"
5364072,18:12:00,06/15/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.786006915, -73.845738305)"
5364099,17:54:00,06/15/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.680096472, -73.912556632)"
5364605,06:40:00,06/15/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.886052491, -73.8614443)"
5368488,19:15:00,06/12/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.745435546, -73.864353209)"
5369066,02:58:00,06/12/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.671411663, -73.881511724)"
5369514,23:35:00,06/11/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.820261474, -73.897877215)"
5369545,22:15:00,06/11/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.816805565, -73.907261306)"
5369578,21:39:00,06/11/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.846741539, -73.906482233)"
5375121,21:04:00,06/07/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.684998931, -73.93844593)"
5376490,00:30:00,06/07/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.670846253, -73.868874019)"
5376544,21:34:00,06/06/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.693065804, -73.999543473)"
5378599,04:48:00,06/05/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.670206898, -73.923942878)"
5378807,00:36:00,06/05/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.679670066, -73.936136211)"
5379790,05:50:00,06/04/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.708909009, -73.965804097)"
5381279,01:52:00,06/03/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.722273155, -73.976342426)"
5381814,15:00:00,06/03/2016,MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,"(40.644754824, -74.087241385)"
5383366,22:38:00,06/01/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.696493892, -73.949430815)"
5385134,17:56:00,05/31/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.637804468, -73.942377197)"
5385751,01:39:00,05/31/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.670667775, -73.93233809)"
5386523,21:44:00,05/30/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.854120099, -73.888809888)"
5388153,10:16:00,05/29/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.638614237, -73.948267625)"
5388428,01:29:00,05/29/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.852841995, -73.88417431)"
5389420,06:58:00,05/28/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.685650526, -73.980487523)"
5390796,05:30:00,05/27/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.887313634, -73.847271758)"
5391484,21:50:00,05/26/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.829363293, -73.919045385)"
5392238,04:10:00,05/26/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.605163421, -73.754847799)"
5392923,22:15:00,05/25/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.734983188, -73.988054214)"
5400452,07:38:00,05/20/2016,MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,"(40.638335307, -74.164483967)"
5401169,05:15:00,05/20/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.761059062, -73.728041784)"
5401315,19:17:00,05/19/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.684069625, -73.75818135)"
5401426,17:04:00,05/19/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.859639663, -73.86323458)"
5401986,03:08:00,05/19/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.676064661, -74.00240969)"
5402445,05:56:00,05/04/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.81493989, -73.886592131)"
5402666,23:51:00,05/18/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.655621162, -73.919937382)"
5402826,19:35:00,05/18/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.642043072, -73.949609007)"
5405141,01:37:00,05/17/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.844350414, -73.815105671)"
